Store Format,Store Region,Store #,Store Name,Address,City,State,Zip,Phone #
Non-plus,North West Region,6,Stephenville H-E-B,2150 W. WASHINGTON,STEPHENVILLE,TX,76401-3928," (254) 965-7063"
Non-plus,Border Region,9,Donna H-E-B,813 MILLER,DONNA,TX,78537-3148," (956) 464-3471"
Plus,Border Region,13,Rio Grande City H-E-B plus!,4031 EAST HWY 83,RIO GRANDE CITY,TX,78582-4815," (956) 488-8439"
Plus,Central Texas Region,14,Kyle H-E-B plus!,5401 SOUTH FM 1626,KYLE,TX,78640-6038," (512) 268-7900"
Plus,North West Region,16,Burleson H-E-B plus!,165 N.W.JOHN JONES DR.,BURLESON,TX,76028-5154," (817) 447-7484"
Non-plus,Houston Region,17,Angleton H-E-B,1239 E. MULBERRY,ANGLETON,TX,77515-3908," (979) 849-1215"
Plus,San Antonio Region,19,Lytle H-E-B plus!,19337 MCDONALD STREET,LYTLE,TX,78052-3622," (830) 772-5021"
Non-plus,Houston Region,20,Cypress Market H-E-B,24224 NORTHWEST FREEWAY,CYPRESS,TX,77429-5683," (281) 758-1100"
Non-plus,Gulf Coast Region,22,Robstown H-E-B,308 E. MAIN,ROBSTOWN,TX,78380-3352," (361) 387-4507"
Plus,Central Texas Region,24,Anderson Mill H-E-B plus!,"11521 NORTH FM620, BUILDING A",AUSTIN,TX,78726-1168," (512) 249-0558"
Non-plus,San Antonio Region,25,Floresville H-E-B,925 10TH STREET,FLORESVILLE,TX,78114-1851," (830) 393-8105"
Plus,San Antonio Region,26,McCreless Market H-E-B plus!,4100 SOUTH NEW BRAUNFELS,SAN ANTONIO,TX,78223-1717," (210) 531-3100"
Non-plus,Houston Region,28,Bay Colony H-E-B,2955 SOUTH GULF FREEWAY,LEAGUE CITY,TX,77573-6750," (281) 406-1163"
Non-plus,Central Texas Region,29,Westlake H-E-B,701 S CAPITAL OF TX HWY BLDG C,WEST LAKE HILLS,TX,78746-5256," (512) 732-9930"
Non-plus,Central Texas Region,31,Spicewood Springs H-E-B Permanently Closes on 7/31/26,12860 RESEARCH BLVD,AUSTIN,TX,78750-3222," (512) 506-9060"
Non-plus,Central Texas Region,34,Gattis School H-E-B Round Rock,3750 GATTIS SCHOOL RD,ROUND ROCK,TX,78664-4642," (512) 341-3775"
Non-plus,Houston Region,35,Orange H-E-B,2424 N.16TH STREET,ORANGE,TX,77630-2332," (409) 883-5105"
Plus,Border Region,38,San Juan H-E-B plus!,901 WEST EXPRESSWAY 83,SAN JUAN,TX,78589-3734," (956) 781-0554"
Plus,North West Region,39,Belton H-E-B plus!,2509 NORTH MAIN STREET,BELTON,TX,76513-1519," (254) 939-0856"
Plus,Houston Region,48,Beaumont H-E-B plus!,3025 NORTH DOWLEN ROAD,BEAUMONT,TX,77706-7213," (409) 866-2007"
Non-plus,Houston Region,50,HOUSTON RESERVE,,,,0-0," (1) 1-"
Non-plus,North West Region,51,Big Spring H-E-B,2000 SOUTH GREGG,BIG SPRING,TX,79720-5437," (432) 263-3000"
Non-plus,North West Region,52,Sherwood Avenue N H-E-B,3301 SHERWOOD WAY,SAN ANGELO,TX,76901-3528," (325) 942-9044"
Non-plus,Houston Region,53,Groves H-E-B,5000 32ND STREET,GROVES,TX,77619-2725," (409) 962-0142"
Non-plus,Houston Region,54,Blackhawk H-E-B,9828 BLACKHAWK BLVD.,HOUSTON,TX,77075-2246," (713) 991-2774"
Central Market,Central Market,55,Central Market Southlake,1425 E. SOUTHLAKE,SOUTHLAKE,TX,76092-6420," (817) 310-5600"
Plus,Gulf Coast Region,57,Flour Bluff H-E-B plus!,1145 WALDRON ROAD,CORPUS CHRISTI,TX,78418-4426," (361) 939-5500"
Central Market,Central Market,61,Central Market North Lamar,4001 NORTH LAMAR,AUSTIN,TX,78756-3733," (512) 206-1000"
Plus,Houston Region,63,Pearland H-E-B plus!,2805 BUSINESS CENTER DRIVE,PEARLAND,TX,77584-2191," (713) 578-6100"
Non-plus,North West Region,64,19th and Meridian H-E-B,3801 N 19TH ST.,WACO,TX,76708-1675," (254) 752-0359"
Mi Tienda,Mi Tienda,66,Mi Tienda 1,1630 SPENCER HWY,SOUTH HOUSTON,TX,77587-3752," (713) 941-7550"
